Link,Username,Rank,Timeline,Review,Response
https://lh3.googleusercontent.com/a-/ALV-UjWWjivTpvjbeqRv31Y-ixdKwrLhfoXaG_VucFx-ybskkh8=w45-h45-p-rp-mo-br100,swapnil kondawar,6 reviews,4 years ago,"A P Shah Institute of Technology is located in Thane ghodbunder road well connected by MSRTC, BEST, TMT, LoCal, and upcoming kasarvadavali metro station in front of college, making it most suitable to travel.  It has a very good …",Share
https://lh3.googleusercontent.com/a-/ALV-UjWvl9D2QpIDcl3aqJixwQpsttwYHHWcCXcVO6u9n2Sh8Q=w45-h45-p-rp-mo-br100,mahesh warang,1 review,4 years ago,"One of the best engineering college in Mumbai.
College has Nice infrastructure, AC Classrooms and Advanced Labs.
Many Courses conducted by college free of cost other than curriculum.
College having excellent  TPO cell as well.",Share
https://lh3.googleusercontent.com/a/ACg8ocJ-Ls6J19MDimJMKzQEUtTnuW_nCEI7UflhNHsXAQO3=w45-h45-p-rp-mo-br100,Sangram Savargave,2 reviews,4 years ago,A. P. Shah Institute of technology is best choice for students who are seeking admission to engineering study for professional carrier. What I observed is college module is complete in all respect for the overall development of students. …,Share
https://lh3.googleusercontent.com/a/ACg8ocLUW15WFDfv42fGFAGKPPVJNGewSSfVpQOqvU6zFRuu=w45-h45-p-rp-mo-br100,Vishwanath Nilakantan,1 review,4 years ago,"APSIT, is a premier engineering College in Thane aiming to create competent ,professional engineers. This institute provides good quality career oriented learning courses which gives the students a wide exposure on all fronts …",Share
https://lh3.googleusercontent.com/a-/ALV-UjUqL7QkIocIHjtZyVeCLw6x1HmGm2YO2ULhFOZFIrfqi-k=w45-h45-p-rp-mo-ba2-br100,Vishal Badgujar,Local Guide · 2 reviews · 5 photos,4 years ago,"Very good college in terms of facilities, faculties, infrastructure, and overall growth of the students. No other engg. colleges have such technical hub, and industry collaboration which helps students to enhance their skills which industry …",Share
https://lh3.googleusercontent.com/a-/ALV-UjULFsBvRf7VNi1OvfslTNgxzAr5pKks7vwkUeYjHViWFgI=w45-h45-p-rp-mo-br100,pravin adivarekar,5 reviews,4 years ago,"Key Features
Supportive management
Ample facilities for students. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjXZkeu19NIUEy729WfQezk_HhZv_zb99AIQCflBHbNypHI=w45-h45-p-rp-mo-ba4-br100,Rohan Parekh,Local Guide · 55 reviews · 25 photos,4 years ago,It's the Best college in comparison to other colleges at present...There are several Facilities given by college for students which includes Program Based learning (PBL) which includes various Softwares which are in great demand for …,Share
https://lh3.googleusercontent.com/a/ACg8ocLykrNQTycsOYPwyXrud552A33ZxVjVspMHdrD0f3lM=w45-h45-p-rp-mo-br100,Shyama Iyer,2 reviews,4 years ago,"APSIT, situatedin Thane West Ghodbunder Road, Kasarwadavali, is one of the leading engineering colleges in Thane and the vicinity of Mumbai.
I had the good fortune of visiting the college two years back. It cast a first …",Share
https://lh3.googleusercontent.com/a/ACg8ocLZV8vgU8kzyFr1QMwaftEEJO2mmYzut-jJ4W0THZa3=w45-h45-p-rp-mo-br100,Manasi Ghadge,1 review,4 years ago,"This college is the best college. Students are provided with various facilities that are essential for a student. Skilled labs, certifications on the emerging technologies such as block chain, aws, machine learning, red hat, are given to …",Share
https://lh3.googleusercontent.com/a/ACg8ocLvYTTtqSyo7_VNEaiWUUNRjTN8aWlxRXhiqK45Em4A=w45-h45-p-rp-mo-br100,Madhura Pawaskar,1 review,4 years ago,"This is best institute in Thane. Laboratories are advance in terms technologies and update regularly. Apart from regular academic study, institute organizes various programs. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjUIP6d6YAoyU_S9-GJMyLORXOv0mBspJLjKTTGjFhC7im0=w45-h45-p-rp-mo-br100,Uday Nikam,1 review,4 years ago,"Best institute in Mumbai University for Engineering education. Well qualified & experienced faculty, well equipped labs, good infrastructure & A. C. Class rooms with smart boards.",Share
https://lh3.googleusercontent.com/a/ACg8ocJ-oTl1BPU0BK-P_cFC6OPvih9H19UmuEsfU7PgMwMo=w45-h45-p-rp-mo-br100,ejaj khan,2 reviews,4 years ago,APSIT is one of the best emerging college with good infrastructure and facilities. Teaching and non-teaching staff are very supportive. College is taking great initiative for the development of students. All Classrooms and Labs are well equipped.,Share
